,top_detail_symbol,top_detail_position_symbol,top_detail_name,top_detail_type,top_detail_amount,top_detail_value,top_detail_position_change,top_detail_value_percent,top_detail_net_value_percent,top_detail_report_date,top_detail_stat_date
569,260108.OF,300498.SZ,温氏股份,股票,22000000.0,710600000.0,,5.567884,5.13,2020-04-22,2020-03-31
570,260108.OF,002714.SZ,牧原股份,股票,8000000.0,977680000.0,,7.66058,7.05,2020-04-22,2020-03-31
571,260108.OF,603288.SH,海天味业,股票,4968871.0,621953583.07,,4.873297,4.49,2020-04-22,2020-03-31
572,260108.OF,002415.SZ,海康威视,股票,21999977.0,667699301.95,,4.440022,4.16,2020-07-21,2020-06-30
573,260108.OF,002311.SZ,海大集团,股票,19999922.0,951796287.98,,6.329191,5.93,2020-07-21,2020-06-30
574,260108.OF,000858.SZ,五粮液,股票,8900000.0,1522968000.0,,10.127331,9.49,2020-07-21,2020-06-30
575,260108.OF,000596.SZ,古井贡酒,股票,5399890.0,811279473.6,,5.394792,5.05,2020-07-21,2020-06-30
576,260108.OF,000568.SZ,泸州老窖,股票,13000000.0,1184560000.0,,7.877008,7.38,2020-07-21,2020-06-30
577,260108.OF,601888.SH,中国中免,股票,9200000.0,1417076000.0,,9.423177,8.83,2020-07-21,2020-06-30
578,260108.OF,600887.SH,伊利股份,股票,25000000.0,778250000.0,,5.175155,4.85,2020-07-21,2020-06-30
579,260108.OF,600519.SH,贵州茅台,股票,1070000.0,1565281600.0,,10.408705,9.75,2020-07-21,2020-06-30
580,260108.OF,600276.SH,恒瑞医药,股票,9482608.0,875244718.4,,5.820144,5.45,2020-07-21,2020-06-30
581,260108.OF,200201.IB,20国开01,债券,3600000.0,360504000.0,,100.0,2.25,2020-07-21,2020-06-30
582,260108.OF,000333.SZ,美的集团,股票,12999953.0,777267189.87,,5.168619,4.84,2020-07-21,2020-06-30
583,260108.OF,002415.SZ,海康威视,股票,34658868.0,1320849459.48,,5.31139,4.97,2020-10-27,2020-09-30
584,260108.OF,000858.SZ,五粮液,股票,9591602.0,2119744042.0,,8.523899,7.97,2020-10-27,2020-09-30
585,260108.OF,000568.SZ,泸州老窖,股票,15077911.0,2164434124.05,,8.703607,8.14,2020-10-27,2020-09-30
586,260108.OF,601888.SH,中国中免,股票,10017198.0,2233234122.12,,8.980265,8.4,2020-10-27,2020-09-30
587,260108.OF,600519.SH,贵州茅台,股票,1270617.0,2120024464.5,,8.525027,7.97,2020-10-27,2020-09-30
588,260108.OF,600276.SH,恒瑞医药,股票,18279926.0,1641902953.32,,6.602408,6.18,2020-10-27,2020-09-30
589,260108.OF,200406.IB,20农发06,债券,4000000.0,397880000.0,,52.514043,1.5,2020-10-27,2020-09-30
590,260108.OF,200201.IB,20国开01,债券,3600000.0,359784000.0,,47.485957,1.35,2020-10-27,2020-09-30
591,260108.OF,300760.SZ,迈瑞医疗,股票,5000004.0,1740001392.0,,6.996881,6.54,2020-10-27,2020-09-30
592,260108.OF,603899.SH,晨光文具,股票,20000018.0,1358201222.38,,5.461589,5.11,2020-10-27,2020-09-30
593,260108.OF,000333.SZ,美的集团,股票,18941394.0,1375145204.4,,5.529724,5.17,2020-10-27,2020-09-30
594,260108.OF,603288.SH,海天味业,股票,8000026.0,1296804214.6,,5.2147,4.88,2020-10-27,2020-09-30
